Flight level,Flight distance (% of global 2019 total),Contrail warming (% of global 2019 total),Warming per flight distance (% of global 2019 mean),Region
FL310,0.007921744276309811,0.0013202378292615216,0.16665999093277073,East Asia
FL320,0.00785297854981126,0.0022800568971293885,0.29034294219283047,East Asia
FL330,0.010499553853558706,0.003830146082251606,0.36479131739044524,East Asia
FL340,0.0078302002327209,0.001396294389411736,0.17832167095509133,East Asia
FL350,0.012318306248807597,0.0028398595052732557,0.23053977128942965,East Asia
FL360,0.006870524027192292,0.0016374557983387095,0.23833055409717738,East Asia
FL370,0.007598885781890133,0.002006475390341975,0.2640486313301169,East Asia
FL380,0.00482563994556809,0.0027453476195100617,0.5689085075713975,East Asia
FL390,0.0045655421709760785,0.002150636375880213,0.47105826544592466,East Asia
FL400,0.003512810170044669,0.005056630084378879,1.439482875419533,East Asia
FL410,0.002450850963740927,0.002998305692446517,1.2233733249409693,East Asia
FL420,6.1435073218675315e-06,7.2845809595697675e-06,1.1857365146519216,East Asia
FL430,0.00019242522436894462,0.0009175433172547431,4.7683110167277265,East Asia
FL440,1.5650868036469578e-06,6.124295588304111e-06,3.9130708750679557,East Asia
FL450,4.3460475193007e-05,0.00017049908114430366,3.9230836843619645,East Asia
FL460,1.1273949572098863e-06,4.59775336835025e-06,4.078209982177781,East Asia
FL470,8.60649202903802e-06,8.020071826010123e-05,9.318630400110365,East Asia
FL480,8.685431904980461e-07,9.477967999841947e-08,0.10912488985616277,East Asia
FL490,5.760927176368493e-07,7.038254371697967e-09,0.01221722503379163,East Asia
FL200,0.0005467733037806383,0.0,0.0,Southeast Asia
FL210,0.0005685391644691944,0.0,0.0,Southeast Asia
FL220,0.0005909651881938429,0.0,0.0,Southeast Asia
FL230,0.000638474782253462,0.0,0.0,Southeast Asia
FL240,0.0006918221883488039,0.0,0.0,Southeast Asia
FL250,0.000719249310538451,0.0,0.0,Southeast Asia
FL260,0.000725984683145778,0.0,0.0,Southeast Asia
FL270,0.0008525927533123947,0.0,0.0,Southeast Asia
FL280,0.001046863563469359,0.0,0.0,Southeast Asia
FL290,0.001368519589226741,0.0,0.0,Southeast Asia
FL300,0.002047008072730129,0.0,0.0,Southeast Asia
FL310,0.0021932153388084037,0.0,0.0,Southeast Asia
FL320,0.002900106986934797,-4.689192318756092e-09,-1.616903217667921e-06,Southeast Asia
FL330,0.004505961649265184,2.0649092191864638e-07,4.5826160538299334e-05,Southeast Asia
FL340,0.004637216707198096,6.1876765363319e-07,0.00013343513851157984,Southeast Asia
