Region,Share of year to reach 80% warming (%)
Edmonton FIR,22.165760587965085
Emirates FIR,1.7744665747983965
Entebbe FIR,2.8937150250533867
European Airspace,31.279496149683006
Ezeiza FIR,3.081019620171426
Fort Worth FIR,7.1862188005220204
Fukuoka FIR,14.689065966612814
Gaborone FIR,2.6791550810299944
Gander FIR,19.69277109709394
Georgetown FIR,6.72982817770465
Global,55.50107765134273
Guangzhou FIR,6.872605383775107
Guayaquil FIR/UIR,7.734326588801745
Habana FIR/UIR,5.684497605587946
Hanoi FIR,3.53646350877193
Harare FIR,2.1701733452758676
Helsinki FIR,9.669416850211368
Ho Chi Minh FIR,13.765818571643816
Hong Kong FIR,3.268742521176792
Honiara FIR,1.2909130522974919
Houston FIR,8.122698565078375
Incheon FIR,3.404848086777886
India,19.449028620939796
Indianapolis FIR,6.241599440485942
Irkutsk FIR,8.535888396164086
Isla De Pascua FIR,4.986379620892831
Istanbul FIR,4.669565399364522
Jacksonville FIR,6.280750193548388
Jakarta FIR,19.114267591455928
Jeddah FIR,4.976308444799361
Johannesburg FIR,3.6995592513540814
Johannesburg Oceanic FIR,2.8455888465181998
Kabul FIR,4.293632596685083
Kaliningrad FIR,5.991314975365835
Kano FIR,13.107751042157538
Kansas City FIR,8.3693064936736
Karachi FIR,3.2722357023131075
Kathmandu FIR,1.211008038032615
Khabarovsk FIR,12.052713426727529
Khartoum FIR,10.931562312633831
Kiev FIR,10.187393311458859
Kigali FIR,1.3254573623205612
Kingston FIR,4.994802735898731
Kinshasa FIR,12.261712384069835
Kolkata FIR,7.948987322108436
Kota Kinabalu FIR,10.282209827027772
Kotlas FIR,9.084728247609009
Krasnoyarsk FIR,18.44106249941118
Kuala Lumpur FIR,15.610948414192613
Kunming FIR,8.293328221485073
Kuwait FIR,0.9642190299638436
La Paz FIR,9.903164216451444
Lahore FIR,2.340131041071773
Langen FIR,8.613112069126577
Lanzhou FIR,6.020655852577559
Latin America,33.52130740855741
Lilongwe FIR,1.7651257953397481
Lima FIR,13.60525469901226
Lisboa FIR,5.226234901981804
Ljubljana FIR,4.034513051102204
London FIR,8.388047997036868
Los Angeles FIR,4.3339883448066026
Luanda FIR,11.894376147100425
Lusaka FIR,4.012584140847022
Lvov FIR,7.702129695372123
Madrid FIR,5.243612351390109
Magadan FIR,20.73777883327459
Maiquetia FIR,9.925222365854763
Male FIR,3.6851272100043118
Malta FIR,1.711041447143029
Manila FIR,15.81147130585851
Marseille FIR,3.868017356739121
Mauritius FIR,7.786972597615967
Melbourne FIR,14.202110768854235
Memphis FIR,5.989397040714047
Mendoza FIR,1.5125627234700014
Mexico FIR,12.215153204375499
Miami FIR/UIR,7.621509410414828
Milano FIR,5.5546345621037805
Minneapolis FIR,10.937681546149676
Minsk FIR,11.198642878861168
Mogadishu FIR/UIR,9.031214421533525
Moncton FIR,7.73189391529301
Montevideo FIR,2.552275797324139
Montreal FIR,13.62681291876921
Moscow FIR,20.307134733863652
Mumbai FIR,12.845656122324158
Munchen FIR,8.119938030757325
Murmansk FIR,6.962594499607756
Muscat FIR,3.6988877025288818
N'Djamena FIR,8.862338411138412
Nadi FIR,11.101499339339341
Nairobi FIR,7.657801541855078
Nauru FIR,0.0
New York FIR,6.6944830196287155
New York Oceanic FIR,25.29320820367751
New Zealand FIR,1.1496222166107253
Niamey FIR,12.844475603261094
Nicosia FIR,1.4234908083377495
North Atlantic,34.49944482207453
North Pacific,47.41361416176612
Novosibirsk FIR,15.60443492063492
Nur-Sultan FIR,14.09002014630578
Nuuk FIR,20.82807942067628
Oakland FIR,5.038110582360286
Oakland Oceanic FIR,34.60167971221878
Oceanica Mazatlan FIR,0.84899701115188
Odessa FIR,5.548014756904035
Osh FIR,4.526859268731352
Panama FIR,8.791670761464031
Paramaribo FIR,5.142828939620226
Paris FIR,6.833533069601428
Petropavlovsk-Kamchatsky FIR,11.96458010831547
Phnom Penh FIR,8.350129384794363
Piarco FIR,10.916936609543898
Polaris FIR,9.314624348341233
Port Moresby FIR,7.028818936724376
Port-Au-Prince FIR,1.3335537635474741
Praha FIR,8.005211684370257
Puerto Montt FIR,2.1025553097424394
Punta Arenas FIR,2.3622152887768393
Pyongyang FIR,0.8382086804968394
Recife FIR,15.647585530664708
Reims FIR,5.499200002536462
Resistencia FIR,4.09741695762866
Reykjavik FIR,12.701502231094413
Riga FIR,9.73824434334719
Roberts FIR,6.3746638377788925
Roma FIR,3.2054989022120366
Rostov-Na-Donu FIR,14.550361756772602
Sal Oceanic FIR,5.899335569091169
Salt Lake City FIR,12.262001546177794
Samara FIR,15.679770248827982
Samarkand FIR,4.2178043999651145
San Juan Oceanic FIR/UIR,6.099553752192053
Sanaa FIR,4.723548871877518
Sankt-Peterburg FIR,14.705492565222718
Santa Maria FIR,20.611039070894346
Santiago FIR,2.662978942645019
Santo Domingo FIR,1.9051639368052136
Sanya FIR,3.6915496490886057
Sarajevo FIR,4.322714042872016
Scottish FIR,6.559501784583407
Seattle FIR,6.799125308049023
Seychelles FIR,7.086513244163702
Shanghai FIR,3.2421206896138814
Shannon FIR,7.484194688370102
Shanwick FIR,20.35174872496507
Shenyang FIR,2.988316758358541
Shymkent FIR,8.796537193222077
Simferopol FIR,4.823727155577313
Singapore FIR,13.631603550295857
Skopje FIR,2.6628548909585237
Sofia FIR,6.20405924172787
Southeast Asia,25.221417462464494
Sweden FIR,10.221660200104349
Switzerland FIR,4.901055700321441
Syktyvkar FIR,13.150952112723818
Tahiti Oceanic FIR,2.965480788270534
Taipei FIR,5.884012564567164
Tallinn FIR,9.416110072928394
Tashkent FIR,7.271640275659087
Tehran FIR,4.725116601471606
Tel-Aviv FIR,0.6325149147417806
Tibilisi FIR,4.295500203796374
Tirana FIR,2.950288518342068
Toronto FIR,8.055756224899596
Tripoli FIR,2.282517511923935
Tunis FIR,1.8419349821776356
Turkmenabat FIR,3.08782820955311
Turkmenbashi FIR,3.250933835607979
Tyumen FIR,16.758184206460335
U-Jung Pandang FIR,16.06899975343088
USA,20.440958125828793
Ulaanbaatar FIR,7.928984350799954
Urumqi FIR,9.11436797017318
Vancouver FIR,12.000684933199473
Vientiane FIR,7.863799880303232
Vilnius FIR,9.169344486208292
Vologda FIR,11.784112295345105
Warszawa FIR,11.494067371117517
Washington FIR,6.129852977896773
Wien FIR,7.837016995997204
Windhoek FIR,2.1609381671051286
Winnipeg FIR,11.98036839230134
Wuhan FIR,2.2913050568171585
Yakutsk FIR,10.781904037410262
Yangon FIR,11.75815119556611
Yekaterinburg FIR,18.57911281481482
Yerevan FIR,2.313264466923571
Zagreb FIR,5.8908690003620165
