Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Jan,3.57,0.07,19.78,La Paz FIR
Jan,0.81,0.01,12.56,Paramaribo FIR
Jan,0.65,0.03,40.58,Cayenne FIR
Jan,16.42,0.24,14.44,Lima FIR
Jan,2.33,0.0,0.59,Montevideo FIR
Jan,3.1,0.02,6.12,Maiquetia FIR
Jan,1.37,0.01,7.18,Georgetown FIR
Jan,9.03,0.01,0.95,San Juan Oceanic FIR/UIR
Jan,2.64,0.0,0.08,Curacao FIR
Jan,6.79,0.05,7.41,Piarco FIR
Jan,4.29,0.36,83.92,Almaty FIR
Jan,5.52,1.06,192.8,Nur-Sultan FIR
Jan,5.69,0.44,77.19,Shymkent FIR
Jan,9.8,2.05,209.58,Aktobe FIR
Jan,5.17,0.13,25.42,Baku FIR
Jan,0.43,0.02,53.37,Bishkek FIR
Jan,0.37,0.02,52.9,Osh FIR
Jan,1.0,0.02,15.25,Yerevan FIR
Jan,7.07,0.2,28.44,Yakutsk FIR
Jan,2.85,0.13,44.07,Tibilisi FIR
Jan,12.94,0.22,17.28,Khabarovsk FIR
Jan,8.44,0.24,28.09,Magadan FIR
Jan,7.39,0.29,39.2,Petropavlovsk-Kamchatsky FIR
Jan,7.11,0.29,40.18,Irkutsk FIR
Jan,3.23,0.18,55.76,Kiev FIR
Jan,0.84,0.13,152.69,Dnipro FIR
Jan,1.73,0.15,86.26,Simferopol FIR
Jan,3.13,0.15,48.19,Lvov FIR
Jan,1.51,0.12,78.84,Odessa FIR
Jan,2.47,0.14,57.0,Arkhangelsk FIR
Jan,1.3,0.24,182.48,Kotlas FIR
Jan,8.77,0.53,60.94,Sankt-Peterburg FIR
Jan,2.34,0.07,28.52,Murmansk FIR
Jan,4.65,0.79,169.31,Vologda FIR
Jan,1.16,0.03,22.05,Kaliningrad FIR
Jan,10.95,0.61,55.51,Minsk FIR
Jan,12.89,1.27,98.87,Krasnoyarsk FIR
Jan,14.52,3.41,235.1,Novosibirsk FIR
Jan,19.07,3.09,161.74,Rostov-Na-Donu FIR
Jan,14.79,2.34,158.13,Yekaterinburg FIR
Jan,11.42,1.62,142.31,Tyumen FIR
Jan,2.51,0.06,23.89,Ashgabat FIR
Jan,2.57,0.06,24.66,Turkmenbashi FIR
Jan,0.47,0.01,28.18,Dashoguz FIR
Jan,1.5,0.02,16.31,Turkmenabat FIR
Jan,0.47,0.01,27.9,Dushanbe FIR
Jan,2.11,0.09,42.39,Samarkand FIR
Jan,3.07,0.15,49.8,Tashkent FIR
Jan,45.81,4.33,94.47,Moscow FIR
Jan,5.13,0.8,155.22,Syktyvkar FIR
Jan,14.3,2.19,153.18,Samara FIR
Jan,75.36,0.09,1.17,Mumbai FIR
Jan,8.6,0.19,22.51,Colombo FIR
Jan,5.09,0.05,9.31,Phnom Penh FIR
Jan,43.09,0.09,2.05,Kolkata FIR
Jan,4.83,-0.0,-0.0,Dhaka FIR
Jan,30.28,0.09,3.1,Hong Kong FIR
Jan,29.48,0.02,0.68,Delhi FIR
Jan,9.52,0.11,11.12,Vientiane FIR
Jan,1.09,0.0,0.81,Kathmandu FIR
Jan,62.97,0.57,9.0,Chennai FIR
Jan,1.48,0.02,15.06,Male FIR
Jan,46.99,0.42,9.0,Bangkok FIR
Jan,36.02,0.69,19.03,Ho Chi Minh FIR
Jan,13.17,0.04,2.89,Hanoi FIR
Jan,19.18,0.18,9.38,Yangon FIR
Jan,38.28,0.6,15.73,U-Jung Pandang FIR
Jan,7.79,0.07,8.44,Kota Kinabalu FIR
Jan,44.45,0.53,11.9,Jakarta FIR
Jan,27.46,0.37,13.45,Kuala Lumpur FIR
Jan,25.89,0.44,17.01,Singapore FIR
Jan,59.05,0.21,3.49,Brisbane FIR
Jan,70.74,0.2,2.86,Melbourne FIR
Jan,38.48,0.08,1.96,Beijing FIR
Jan,110.54,0.06,0.58,Guangzhou FIR
Jan,51.08,0.0,0.01,Wuhan FIR
