Region,Subset,Share below 50% capacity (%),Share below avg capacity (%)
Malta FIR,Night (20h–04h),1.2248199249342127,25.72568968024531
Malta FIR,Winter & Night,1.8991127675426953,18.04586935339769
Malta FIR,Winter (Oct–Mar),26.385477041242815,56.08193167667234
Marseille FIR,All hours,36.92208515058867,62.680611530277865
Marseille FIR,Night (20h–04h),13.08156663081286,40.069400690565324
Marseille FIR,Winter & Night,3.47715865073893,20.289519686410365
Marseille FIR,Winter (Oct–Mar),17.240816940658622,48.133563236339285
Milano FIR,All hours,36.497545455065946,64.98362518411004
Milano FIR,Night (20h–04h),9.960434518748869,32.10892463248207
Milano FIR,Winter & Night,2.8409663779178107,16.691057015665116
Milano FIR,Winter (Oct–Mar),15.854648061668787,55.93610225403456
Munchen FIR,All hours,70.57148118210489,73.99602474206281
Munchen FIR,Night (20h–04h),12.061913451162791,25.171363152493424
Munchen FIR,Winter & Night,5.784353059655429,15.02515073606803
Munchen FIR,Winter (Oct–Mar),51.543781974169086,56.90310146336993
Nicosia FIR,All hours,49.081029749571016,64.3755051483174
Nicosia FIR,Night (20h–04h),6.9525567202026215,28.681878655842862
Nicosia FIR,Winter & Night,9.016156449503148,24.158163402357953
Nicosia FIR,Winter (Oct–Mar),23.3869107517335,37.14859684051751
Odessa FIR,All hours,10.462570917319248,47.65915734859087
Odessa FIR,Night (20h–04h),2.7081963931062414,19.781399575912275
Odessa FIR,Winter & Night,2.3981727944309936,19.7437840856054
Odessa FIR,Winter (Oct–Mar),6.502116591505493,50.02807276353927
Paris FIR,All hours,64.62722856163619,76.97765488252419
Paris FIR,Night (20h–04h),15.926967541366748,29.05104285614864
Paris FIR,Winter & Night,5.816955151613314,15.534032272197097
Paris FIR,Winter (Oct–Mar),44.49382922297715,60.748676071216465
Polaris FIR,All hours,45.038596765283195,72.54624492995431
Polaris FIR,Night (20h–04h),2.8534352638959093,21.720118662914054
Polaris FIR,Winter & Night,2.9701875258310726,14.099487001935643
Polaris FIR,Winter (Oct–Mar),41.88210508840911,67.74043321076418
Praha FIR,All hours,47.41379629341527,68.90189468074203
Praha FIR,Night (20h–04h),4.653538428149262,29.360527037350476
Praha FIR,Winter & Night,1.9552995594158056,16.524923270493684
Praha FIR,Winter (Oct–Mar),29.03195008669767,50.170707676682206
Reims FIR,All hours,40.87274717145241,69.1311901780458
Reims FIR,Night (20h–04h),14.523524273925798,32.30349190625493
Reims FIR,Winter & Night,4.962518704498814,16.18012516708406
Reims FIR,Winter (Oct–Mar),17.260559009998428,45.74939691992295
Reykjavik FIR,All hours,1.8176887638582437,49.46861673685964
Reykjavik FIR,Night (20h–04h),0.1551,13.262196827117736
Reykjavik FIR,Winter & Night,0.1551,9.196246381360632
Reykjavik FIR,Winter (Oct–Mar),2.686166328146123,48.4056564465036
Riga FIR,All hours,20.74351624213502,65.15387661566811
Riga FIR,Night (20h–04h),1.5533865088250984,19.057023125502774
Riga FIR,Winter & Night,1.4369060876692294,13.927995584568594
Riga FIR,Winter (Oct–Mar),17.348830449012333,59.86729155909629
Roma FIR,All hours,38.29140945284763,65.5199671919402
Roma FIR,Night (20h–04h),12.766253035880446,39.26599197187846
Roma FIR,Winter & Night,3.671167897745594,22.38373107737742
Roma FIR,Winter (Oct–Mar),20.29638076731156,58.7023041572887
Santa Maria FIR,All hours,1.3294338809672182,56.469748559499635
Santa Maria FIR,Night (20h–04h),2.025898526394586,36.31647876678421
Santa Maria FIR,Winter & Night,0.6232395402435902,21.982629866198746
Santa Maria FIR,Winter (Oct–Mar),1.248559795667207,44.466119594795046
Sarajevo FIR,All hours,9.604609634924067,60.11571040088729
Sarajevo FIR,Night (20h–04h),0.7710407818911817,23.68235506619085
Sarajevo FIR,Winter & Night,0.1797242311390188,13.164903528477945
Sarajevo FIR,Winter (Oct–Mar),2.29006344639663,46.81831596883727
Scottish FIR,All hours,-1.9349212053577627,36.51965337401918
Scottish FIR,Night (20h–04h),0.1982,24.34069966796278
Scottish FIR,Winter & Night,0.1982,14.223854075143453
Scottish FIR,Winter (Oct–Mar),2.908502953802786,50.19663085225815
Shannon FIR,All hours,2.5707309426161182,42.14169105956249
Shannon FIR,Night (20h–04h),0.06324253858780438,21.651379799185495
Shannon FIR,Winter & Night,0.1608,11.402654099197683
Shannon FIR,Winter (Oct–Mar),1.5513884346060014,44.59446559593611
Shanwick FIR,All hours,2.7631155881572207,48.43542412351437
Shanwick FIR,Night (20h–04h),1.9978779546713987,16.814131050262887
Shanwick FIR,Winter & Night,0.07779458590918908,9.172078181698998
Shanwick FIR,Winter (Oct–Mar),2.760355478155273,39.93364814298297
Simferopol FIR,All hours,2.206383301226569,48.579628793065424
Simferopol FIR,Night (20h–04h),1.9285490613957814,18.82829476200452
