Airport,Latitude,Longitude,Flights Total,Flights Big Hit,Flights Warming,Flights Cooling,Flights No Contrail,Contrail Forcing (10^18 J),Fuel Burn (t),CO2 (Mt),CO2 Forcing 20yr (10^18 J),CO2 Forcing 100yr (10^18 J),GWP20,GWP100,Contrail CO2eq 20yr (Mt),Contrail CO2eq 100yr (Mt)
Lviv International Airport,49.8125,23.9561,3948,105,0,467,2283,0.10002130695113458,11011703.468484083,0.03488507658815758,0.01341218428944128,0.049383774789574585,3.1321482029253054,0.850662977839941,0.1092652299445094,0.029675443132656538
Lycksele Airport,64.548302,18.7162,163,0,0,0,162,1.9314072996225575e-06,125787.25456546368,0.00039849402246338895,0.00015320807033383668,0.0005641133970450892,0.005294701931000817,0.0014379929108059035,2.1099070702291884e-06,5.730315793008818e-07
Lydd Airport,50.9561,0.939167,17,0,0,1,13,-1.0608285271468727e-05,30970.862199685904,9.811569144860495e-05,3.772231177618716e-05,0.00013889386762780208,-0.1181125865363708,-0.03207830475249162,-1.1588698096799209e-05,-3.147385051289786e-06
Lyon Saint-Exupéry Airport,45.725556,5.081111,43265,788,0,5005,28147,0.7298784645392246,169224993.70769143,0.5361047800659665,0.20611495836979268,0.7589170015289437,1.4872717513131293,0.40392948700436127,0.79733349513605,0.21654852879263178
Lyon-Bron Airport,45.72719955444336,4.944270133972168,14,0,0,0,14,0.0,10041.20136481244,3.181052592372581e-05,1.223011894369451e-05,4.503140029477477e-05,0.0,0.0,0.0,0.0
Lübeck Blankensee Airport,53.8054008484,10.7192001343,10,0,0,0,7,0.00022726828025908057,33946.49382875823,0.00010754249244950608,4.134661204006836e-05,0.0001522385715282852,2.3085973190817213,0.6269940446142401,0.000248272309756296,6.74285023088122e-05
M. R. Štefánik Airport,48.17020034790039,17.21269989013672,10244,301,0,1254,5453,0.27869445179481794,42386979.08494783,0.13428194974111474,0.051627069016804514,0.1900913001455564,2.267253826005955,0.6157655277447991,0.3044512643140817,0.0826861956489381
Maastricht Aachen Airport,50.911701,5.77014,2060,117,0,357,889,0.09586280753709359,26027056.129152894,0.08245371381715637,0.03170078764969563,0.11672256540473708,1.2700750407369097,0.3449408349274107,0.10472240393523438,0.028441652886955698
Madeira International Airport Cristiano Ronaldo,32.697899,-16.7745,10489,709,0,1495,5382,0.6502943401155575,60675119.87364495,0.19221877975970722,0.07390190735324043,0.27210744130063425,3.695758778498676,1.0037344864331628,0.7103942426892416,0.19293661818491895
Madrid-Cuatro Vientos Airport,40.370701,-3.78514,1,0,0,0,1,0.0,744.2713871241442,2.357851754409289e-06,9.065177821067244e-07,3.337806059639822e-06,0.0,0.0,0.0,0.0
Madrid–Torrejón Airport / Torrejón Air Base,40.487875,-3.456808,11,0,0,1,3,2.9655725655314945e-06,25997.76395435149,8.236091620738553e-05,3.1665109968417763e-05,0.00011659119988371396,0.03933479083968154,0.010682971603049872,3.239649412382047e-06,8.798593290446695e-07
"Magdeburg ""City"" Airport",52.073612,11.626389,5,0,0,0,5,0.0,2116.393761288744,6.704735435762741e-06,2.5777540447460025e-06,9.491311963918336e-06,0.0,0.0,0.0,0.0
Malmö Sturup Airport,55.536305,13.376198,9028,156,0,1138,4936,0.1641985282116919,25383091.767370187,0.08041363471902875,0.030916443181940808,0.11383460251091178,2.2306376397526257,0.6058209044328153,0.17937368035358411,0.048716260914212044
Malpensa International Airport,45.6306,8.72811,111872,5032,0,15115,58941,4.967169834183302,1175900966.6928117,3.7252542624828275,1.4322398452296228,5.273519095406143,1.4566075209438938,0.3956013608018075,5.426233376160785,1.4737156555709405
Malta International Airport,35.857498,14.4775,27303,782,0,4119,15242,0.631199598717137,144974429.8759277,0.45927899384693893,0.17657792695904306,0.6501614047027527,1.5013418496111797,0.40775079779212725,0.6895347741097249,0.18727137615025485
Manchester Airport,53.349375,-2.279521,95229,4489,0,14956,47488,3.8493008156695057,965764522.5573094,3.0595420074615562,1.1762950022959588,4.331128041926544,1.3744055185354132,0.3732760442385951,4.20505141924608,1.14205373772706
