Date,Departure airport,Number of big hits
2019-03-02,Frankfurt am Main Airport,40
2019-03-02,London Heathrow Airport,83
2019-03-03,Charles de Gaulle International Airport,107
2019-03-03,Frankfurt am Main Airport,117
2019-03-03,London Heathrow Airport,163
2019-03-04,Charles de Gaulle International Airport,41
2019-03-04,Frankfurt am Main Airport,60
2019-03-04,London Heathrow Airport,65
2019-03-05,Charles de Gaulle International Airport,62
2019-03-05,Frankfurt am Main Airport,70
2019-03-05,London Heathrow Airport,113
2019-03-06,Charles de Gaulle International Airport,113
2019-03-06,Frankfurt am Main Airport,122
2019-03-06,London Heathrow Airport,190
2019-03-07,Charles de Gaulle International Airport,55
2019-03-07,Frankfurt am Main Airport,87
2019-03-07,London Heathrow Airport,88
2019-03-08,Charles de Gaulle International Airport,50
2019-03-08,Frankfurt am Main Airport,74
2019-03-08,London Heathrow Airport,82
2019-03-09,Charles de Gaulle International Airport,107
2019-03-09,Frankfurt am Main Airport,120
2019-03-09,London Heathrow Airport,140
2019-03-10,Charles de Gaulle International Airport,49
2019-03-10,Frankfurt am Main Airport,50
2019-03-10,London Heathrow Airport,67
2019-03-11,Charles de Gaulle International Airport,40
2019-03-11,Frankfurt am Main Airport,46
2019-03-11,London Heathrow Airport,89
2019-03-12,Charles de Gaulle International Airport,56
2019-03-12,Frankfurt am Main Airport,44
2019-03-12,London Heathrow Airport,85
2019-03-13,Charles de Gaulle International Airport,62
2019-03-13,Frankfurt am Main Airport,83
2019-03-13,London Heathrow Airport,122
2019-03-14,Charles de Gaulle International Airport,63
2019-03-14,Frankfurt am Main Airport,60
2019-03-14,London Heathrow Airport,113
2019-03-15,Charles de Gaulle International Airport,102
2019-03-15,Frankfurt am Main Airport,101
2019-03-15,London Heathrow Airport,202
2019-03-16,Charles de Gaulle International Airport,51
2019-03-16,Frankfurt am Main Airport,63
2019-03-16,London Heathrow Airport,105
2019-03-17,Charles de Gaulle International Airport,58
2019-03-17,Frankfurt am Main Airport,67
2019-03-17,London Heathrow Airport,90
2019-03-18,Charles de Gaulle International Airport,39
2019-03-18,Frankfurt am Main Airport,46
2019-03-18,London Heathrow Airport,70
2019-03-19,Charles de Gaulle International Airport,33
2019-03-19,Frankfurt am Main Airport,41
2019-03-19,London Heathrow Airport,80
2019-03-20,Charles de Gaulle International Airport,56
2019-03-20,Frankfurt am Main Airport,62
2019-03-20,London Heathrow Airport,70
2019-03-21,Charles de Gaulle International Airport,34
2019-03-21,Frankfurt am Main Airport,39
2019-03-21,London Heathrow Airport,97
2019-03-22,Charles de Gaulle International Airport,39
2019-03-22,Frankfurt am Main Airport,41
2019-03-22,London Heathrow Airport,43
2019-03-23,Charles de Gaulle International Airport,76
2019-03-23,Frankfurt am Main Airport,64
2019-03-23,London Heathrow Airport,110
2019-03-24,Charles de Gaulle International Airport,36
2019-03-24,Frankfurt am Main Airport,41
2019-03-24,London Heathrow Airport,99
2019-03-25,Charles de Gaulle International Airport,28
2019-03-25,Frankfurt am Main Airport,26
2019-03-25,London Heathrow Airport,78
2019-03-26,Charles de Gaulle International Airport,28
2019-03-26,Frankfurt am Main Airport,27
2019-03-26,London Heathrow Airport,66
2019-03-27,Charles de Gaulle International Airport,39
