,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
142739,2024-01-28 04:00:00,20240128T04.nc,18,714935.8,1140,1525387.0495500008,2133.6000000000013,609.6000000000004,350.0,35.694057,-78.90464,797816200.0,1805136900.0,261267020.0,31.5,39.5,-82.25,-73.25,320,380,"{320: 1861.57666015625, 330: 79110.75, 340: 43319.35546875, 350: 236069.328125, 360: 204145.8125, 370: 115925.0390625, 380: 34503.93359375}"
473291,2024-03-28 23:00:00,20240328T23.nc,81,583.21655,1,177.7644052734375,304.8,0.0,290.0,41.0,-6.749999,557709200.0,557709200.0,0.0,41.0,41.0,-6.75,-6.75,290,290,{290: 583.216552734375}
256896,2024-02-18,20240218T00.nc,195,887.17834,3,270.41195947265624,304.8,0.0,410.0,67.5,60.75,532867500.0,547179000.0,13018930.0,67.5,67.5,60.5,61.0,410,410,{410: 887.1783447265625}
108927,2024-01-21 22:00:00,20240121T22.nc,169,9133.8125,23,8351.958150000004,914.4000000000004,248.86815786677104,280.0,59.074436,-8.892886,619408000.0,796364400.0,89523550.0,58.75,59.5,-9.5,-8.25,270,290,"{270: 2396.693359375, 280: 3965.556884765625, 290: 2771.562255859375}"
1820675,2024-10-16,20241016T00.nc,315,499.3049,1,152.1881338623047,304.8,0.0,290.0,49.75,29.999996,525296770.0,525296770.0,0.0,49.75,49.75,30.0,30.0,290,290,{290: 499.3049011230469}
1680803,2024-10-04 15:00:00,20241004T15.nc,421,254.77486,1,77.65537628173828,304.8,0.0,300.0,70.75,-78.49999,623920900.0,623920900.0,0.0,70.75,70.75,-78.5,-78.5,300,300,{300: 254.7748565673828}
1256165,2024-08-22 18:00:00,20240822T18.nc,141,359.81268,1,109.67090581054688,304.8,0.0,280.0,62.25,-19.749998,508199580.0,508199580.0,0.0,62.25,62.25,-19.75,-19.75,280,280,{280: 359.81268310546875}
1680299,2024-10-04 14:00:00,20241004T14.nc,358,719.62537,2,219.3418116210937,304.8,0.0,300.0,62.25,7.8749995,615025340.0,675815300.0,60789950.0,62.25,62.25,7.75,8.0,300,300,{300: 719.6253662109375}
1365178,2024-09-10 12:00:00,20240910T12.nc,474,123974.33,445,188936.8760625001,1524.000000000001,431.0522938113196,360.0,68.840225,31.708601,949080200.0,2002319500.0,312332060.0,67.0,70.0,29.5,33.75,340,380,"{340: 8631.6279296875, 350: 22735.412109375, 360: 27386.478515625, 370: 36228.078125, 380: 28992.73828125}"
410035,2024-03-17 13:00:00,20240317T13.nc,180,475.7644,1,145.0129904296875,304.8,0.0,280.0,52.000004,48.999996,540694660.0,540694660.0,0.0,52.0,52.0,49.0,49.0,280,280,{280: 475.764404296875}
