week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
4,Switzerland FIR,0.0148,0.0037,0.0518,0.1648,0.113
4,Tallinn FIR,0.0494,0.0053,0.0178,0.1918,0.174
4,Tirana FIR,0.0037,0.0001,0.0104,0.0496,0.0392
4,Vilnius FIR,0.0508,0.008,0.0195,0.1766,0.1571
4,Warszawa FIR,0.0278,0.0031,0.0243,0.1405,0.1162
4,Wien FIR,0.0186,0.0022,0.0326,0.1189,0.0863
4,Zagreb FIR,0.0172,0.0031,0.0244,0.1263,0.1019
5,Global,0.0207,0.0053,0.0175,0.0745,0.0569
5,Europe,0.0619,0.0173,0.0537,0.2157,0.1619
5,European Airspace,0.0402,0.0102,0.0265,0.1344,0.1079
5,Africa Middle East,0.0124,0.0039,0.0102,0.0429,0.0327
5,East Asia,0.0056,0.0005,0.0099,0.0337,0.0238
5,Southeast Asia,0.0317,0.0105,0.0284,0.1105,0.082
5,India,0.0063,0.0027,0.0087,0.0315,0.0228
5,China,0.0167,0.0022,0.0235,0.0804,0.0569
5,Latin America,0.0187,0.0053,0.0198,0.074,0.0542
5,USA,0.0108,0.0012,0.0148,0.0528,0.038
5,North Atlantic,0.0491,0.0141,0.0287,0.161,0.1322
5,North Pacific,0.0127,0.0014,0.0118,0.0598,0.048
5,Amsterdam FIR,0.0995,0.025,0.0624,0.3131,0.2507
5,Athinai FIR,0.0034,0.0003,0.0085,0.0179,0.0094
5,Barcelona FIR,0.0627,0.0191,0.0625,0.1989,0.1364
5,Beograd FIR,0.0188,0.0014,0.0117,0.0656,0.054
5,Bordeaux FIR,0.0732,0.0184,0.0844,0.2702,0.1858
5,Bratislava  FIR,0.0202,0.0017,0.0436,0.1441,0.1005
5,Bremen FIR,0.1037,0.032,0.0708,0.3551,0.2843
5,Brest FIR,0.0995,0.0344,0.0571,0.2545,0.1974
5,Brindisi FIR,0.0095,0.0013,0.0143,0.0438,0.0295
5,Brussels FIR,0.1202,0.0376,0.0636,0.3314,0.2678
5,Bucarest FIR,0.0224,0.0025,0.0248,0.0999,0.0751
5,Budapest FIR,0.0265,0.0028,0.0313,0.1178,0.0866
5,Canarias FIR,0.0102,0.0032,0.0138,0.0365,0.0227
5,Chisinau FIR,0.0287,0.0037,0.0273,0.0934,0.0661
5,Copenhagen FIR,0.0833,0.0244,0.0541,0.3176,0.2635
5,Helsinki FIR,0.0677,0.0159,0.0187,0.2186,0.1999
5,Langen FIR,0.0993,0.0264,0.0967,0.3686,0.2719
5,Lisboa FIR,0.0434,0.0134,0.0456,0.139,0.0934
5,Ljubljana FIR,0.0187,0.0016,0.0851,0.2167,0.1317
5,London FIR,0.1018,0.0311,0.0514,0.3112,0.2598
5,Madrid FIR,0.0452,0.0174,0.0535,0.1563,0.1028
5,Malta FIR,0.0033,0.0002,0.0015,0.0088,0.0073
5,Marseille FIR,0.0615,0.0128,0.1035,0.249,0.1455
5,Milano FIR,0.0451,0.0094,0.0867,0.2355,0.1488
5,Munchen FIR,0.0732,0.0179,0.0883,0.3452,0.2569
5,Paris FIR,0.1327,0.0377,0.0623,0.3329,0.2706
5,Polaris FIR,0.0418,0.01,0.0174,0.1798,0.1624
5,Praha FIR,0.0605,0.0142,0.0629,0.2869,0.2239
5,Reims FIR,0.1118,0.0286,0.1029,0.3518,0.2489
5,Reykjavik FIR,0.0164,0.0025,0.0065,0.0702,0.0638
5,Riga FIR,0.1097,0.0263,0.046,0.2931,0.2472
5,Roma FIR,0.0081,0.0013,0.0166,0.0427,0.0262
5,Santa Maria FIR,0.0225,0.0065,0.026,0.0908,0.0648
