Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 01,European Airspace,0.051557,0.09881,0.104245,0.052389,0.016365,0.000819
01-01 01,Global,0.019672,0.023935,0.021974,0.021078,0.024248,0.021933
01-01 01,Helsinki FIR,0.0,0.0,0.000224,0.0,0.0,0.0
01-01 01,India,0.0,0.0,0.0,2.8e-05,0.0,0.005047
01-01 01,Istanbul FIR,0.149999,0.276028,0.088333,0.0,0.0,0.0
01-01 01,Kiev FIR,0.026525,0.007162,0.0,0.0,0.016459,0.0
01-01 01,Langen FIR,0.111086,0.0,0.0,0.0,0.0,0.0
01-01 01,Latin America,0.001031,0.009528,0.025148,0.035902,0.091587,0.119996
01-01 01,Lisboa FIR,0.000291,0.005575,0.044816,0.007907,0.000327,0.0
01-01 01,Ljubljana FIR,0.0,0.068079,0.302625,0.038928,0.0,0.0
01-01 01,London FIR,0.09112,0.107293,0.0,0.0,0.0,0.0
01-01 01,Lvov FIR,0.020244,0.093185,0.05321,0.0,0.261222,0.00623
01-01 01,Madrid FIR,0.010653,0.205168,0.277052,0.09986,0.001362,0.0
01-01 01,Malta FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Marseille FIR,0.088142,0.444468,0.505231,0.1119,0.0,0.0
01-01 01,Milano FIR,0.0,0.017053,0.088321,0.046317,0.0,0.0
01-01 01,Munchen FIR,0.196615,0.041404,0.0,0.0,0.0,0.0
01-01 01,Nicosia FIR,0.0,0.092046,0.132654,0.0,0.0,0.0
01-01 01,North Atlantic,0.049134,0.041096,0.038658,0.026894,0.00085,0.0
01-01 01,North Pacific,0.061915,0.092864,0.066344,0.019519,0.002946,1.4e-05
01-01 01,Odessa FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Paris FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Polaris FIR,0.094821,0.179872,0.129448,0.040402,0.011936,0.0
01-01 01,Praha FIR,0.114531,0.278015,0.210258,0.214174,0.006351,0.0
01-01 01,Reims FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Reykjavik FIR,0.293689,0.279554,0.188612,0.086882,0.007496,0.0
01-01 01,Riga FIR,0.214022,0.369501,0.288496,0.033411,0.0,0.0
01-01 01,Roma FIR,0.005535,0.019385,0.102645,0.038202,0.0,0.0
01-01 01,Santa Maria FIR,0.0,0.008564,0.061606,0.07123,0.005816,0.0
01-01 01,Sarajevo FIR,0.059739,0.616869,0.493093,0.052117,0.0,0.0
01-01 01,Scottish FIR,0.023478,0.0,0.0,0.0,0.0,0.0
01-01 01,Shannon FIR,0.267026,0.068605,0.0,0.0,0.0,0.0
01-01 01,Shanwick FIR,0.00415,0.058572,0.096626,0.018145,0.0,0.0
01-01 01,Simferopol FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Skopje FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Sofia FIR,0.002689,0.034882,0.02953,0.0,0.0,0.0
01-01 01,Southeast Asia,0.0,0.0,0.0,0.000248,0.009002,0.047558
01-01 01,Sweden FIR,0.06513,0.209756,0.151327,0.007931,0.0,0.0
01-01 01,Switzerland FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Tallinn FIR,0.0,0.037686,0.003602,0.0,0.0,0.0
01-01 01,Tibilisi FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,Tirana FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01,USA,0.025038,0.036529,0.033228,0.011463,5.8e-05,0.0
01-01 01,Vilnius FIR,0.608826,0.714489,0.596894,0.062607,0.0,0.0
01-01 01,Warszawa FIR,0.01703,0.368397,0.639832,0.298003,0.12827,0.0
01-01 01,Wien FIR,0.004043,0.094278,0.242246,0.128741,0.0,0.0
01-01 01,Yerevan FIR,0.054035,0.121597,0.121597,0.0,0.0,0.0
01-01 01,Zagreb FIR,0.043515,0.394238,0.295178,0.028869,0.00471,0.0
01-01 02,Africa & Middle East,0.001094,0.008053,0.013417,0.027546,0.02389,0.015692
01-01 02,Amsterdam FIR,0.248277,0.0,0.0,0.0,0.0,0.0
01-01 02,Ankara FIR,0.039275,0.08208,0.013387,0.0,0.0,0.0
01-01 02,Arctic,0.160367,0.104113,0.05694,0.038701,0.016624,0.002941
01-01 02,Athinai FIR,0.013164,0.070901,0.099817,0.0,0.0,0.0
01-01 02,Barcelona FIR,0.041024,0.413737,0.558411,0.12551,0.0,0.0
01-01 02,Beograd FIR,0.017389,0.291982,0.220789,0.0,0.0,0.0
01-01 02,Bodo Oceanic FIR,0.233664,0.21682,0.15302,0.126036,0.0064,0.0
01-01 02,Bordeaux FIR,0.260949,0.665432,0.319497,0.003366,0.0,0.0
01-01 02,Bratislava  FIR,0.032513,0.724383,0.971265,0.849036,0.131694,0.0
01-01 02,Bremen FIR,0.280534,0.023007,0.0,0.0,0.0,0.0
01-01 02,Brest FIR,0.137202,0.194907,0.077148,0.0,0.0,0.0
01-01 02,Brindisi FIR,0.058817,0.179863,0.120594,0.001202,0.0,0.0
01-01 02,Brussels FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Bucarest FIR,0.000693,0.018065,0.006962,0.0,0.0,0.0
01-01 02,Budapest FIR,0.046341,0.526617,0.516039,0.241898,0.031029,0.0
01-01 02,Canarias FIR,0.0,0.006627,0.064355,0.182046,0.035921,0.0
01-01 02,China,0.001601,0.004879,0.009457,0.001553,0.000596,0.0
01-01 02,Chisinau FIR,0.0,0.029266,0.004874,0.0,0.0,0.0
01-01 02,Continental Europe,0.07435,0.173998,0.157666,0.033303,0.001683,0.0
01-01 02,Copenhagen FIR,0.170694,0.001004,0.0,0.0,0.0,0.0
01-01 02,Dnipro FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,East Asia,0.000286,0.001634,0.006922,0.000746,0.002786,0.002573
01-01 02,European Airspace,0.051661,0.09521,0.097774,0.047896,0.013902,0.00068
01-01 02,Global,0.020152,0.024049,0.021777,0.021007,0.023999,0.020639
01-01 02,Helsinki FIR,0.0,0.0,0.002222,0.0,0.0,0.0
01-01 02,India,0.0,0.0,0.0,0.0,2.8e-05,0.006205
01-01 02,Istanbul FIR,0.109768,0.2068,0.063919,0.0,0.0,0.0
01-01 02,Kiev FIR,0.037903,0.0,0.0,0.0,0.005478,0.0
01-01 02,Langen FIR,0.081724,0.0,0.0,0.0,0.0,0.0
01-01 02,Latin America,0.000756,0.010565,0.025534,0.036844,0.094285,0.117211
01-01 02,Lisboa FIR,0.0,0.004685,0.029027,0.00759,0.000985,0.0
01-01 02,Ljubljana FIR,0.0,0.0,0.019374,0.0,0.0,0.0
01-01 02,London FIR,0.117561,0.113588,0.000883,0.0,0.0,0.0
01-01 02,Lvov FIR,0.001185,0.113012,0.109953,0.002466,0.118358,0.0
01-01 02,Madrid FIR,0.009437,0.127257,0.244261,0.031528,0.0,0.0
01-01 02,Malta FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02,Marseille FIR,0.158863,0.531811,0.475066,0.076159,0.0,0.0
01-01 02,Milano FIR,0.0,0.03925,0.059763,0.032765,0.0,0.0
01-01 02,Munchen FIR,0.182252,0.015929,0.0,0.0,0.0,0.0
