Hour,Region,Very warming,Extremely warming,Cooling,Persistent contrails,Warming
01-01 01,Malta FIR,0.0,0.0,0.0,0.013995,0.013995
01-01 01,Marseille FIR,0.191624,0.070314,0.000102,0.307776,0.307673
01-01 01,Milano FIR,0.025282,0.011689,0.0,0.051615,0.051615
01-01 01,Munchen FIR,0.03967,0.000272,0.0,0.110033,0.110033
01-01 01,Nicosia FIR,0.03745,0.0,0.0,0.196056,0.196056
01-01 01,North Atlantic,0.026105,0.001477,0.0,0.093307,0.093307
01-01 01,North Pacific,0.0406,0.004361,0.034626,0.155598,0.120972
01-01 01,Odessa FIR,0.0,0.0,0.0,0.009522,0.009522
01-01 01,Paris FIR,0.0,0.0,0.0,0.081633,0.081633
01-01 01,Polaris FIR,0.07608,0.030404,0.0,0.397191,0.397191
01-01 01,Praha FIR,0.137222,0.019101,0.0,0.456274,0.456274
01-01 01,Reims FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Reykjavik FIR,0.142705,0.047856,0.0,0.276081,0.276081
01-01 01,Riga FIR,0.150905,0.007786,0.0,0.534064,0.534064
01-01 01,Roma FIR,0.027628,0.004595,0.0,0.124837,0.124837
01-01 01,Santa Maria FIR,0.024536,0.001119,0.0,0.111603,0.111603
01-01 01,Sarajevo FIR,0.203636,0.011155,0.052333,0.568574,0.516241
01-01 01,Scottish FIR,0.003913,0.0,0.0,0.031466,0.031466
01-01 01,Shannon FIR,0.055938,0.022897,0.0,0.072898,0.072898
01-01 01,Shanwick FIR,0.029582,0.000396,0.0,0.148002,0.148002
01-01 01,Simferopol FIR,0.0,0.0,0.0,0.01286,0.01286
01-01 01,Skopje FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Sofia FIR,0.011184,0.003134,0.004447,0.043731,0.039283
01-01 01,Southeast Asia,0.009468,0.000372,0.066372,0.10863,0.042258
01-01 01,Sweden FIR,0.072357,0.016751,0.0,0.287381,0.287381
01-01 01,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Tallinn FIR,0.006881,0.0,0.0,0.071897,0.071897
01-01 01,Tibilisi FIR,0.0,0.0,0.0,0.01445,0.01445
01-01 01,Tirana FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,USA,0.017719,0.001284,0.0,0.056372,0.056372
01-01 01,Vilnius FIR,0.330469,0.021767,0.0,0.854966,0.854966
01-01 01,Warszawa FIR,0.241922,0.006812,0.0,0.630864,0.630864
01-01 01,Wien FIR,0.078218,0.022555,0.0,0.160429,0.160429
01-01 01,Yerevan FIR,0.049538,0.022529,0.010072,0.077557,0.067485
01-01 01,Zagreb FIR,0.127752,0.009499,0.009078,0.352501,0.343423
01-01 02,Africa & Middle East,0.014949,0.001872,0.0078,0.066286,0.058486
01-01 02,Amsterdam FIR,0.04138,0.0,0.0,0.057583,0.057583
01-01 02,Ankara FIR,0.022457,0.0,0.005338,0.122836,0.117498
01-01 02,Arctic,0.063281,0.020428,3.9e-05,0.150719,0.150681
01-01 02,Athinai FIR,0.030647,0.000649,0.003284,0.163243,0.159959
01-01 02,Barcelona FIR,0.18978,0.028045,0.000258,0.354845,0.354587
01-01 02,Beograd FIR,0.08836,0.0,0.06391,0.30565,0.24174
01-01 02,Bodo Oceanic FIR,0.122657,0.040675,0.0,0.223292,0.223292
01-01 02,Bordeaux FIR,0.208207,0.017497,0.0079,0.421276,0.413375
01-01 02,Bratislava  FIR,0.451482,0.075267,0.0006,0.675559,0.674959
01-01 02,Bremen FIR,0.05059,0.005602,0.0,0.099601,0.099601
01-01 02,Brest FIR,0.06821,0.001455,0.000196,0.242558,0.242362
01-01 02,Brindisi FIR,0.060079,0.003522,0.0,0.174457,0.174457
01-01 02,Brussels FIR,0.0,0.0,0.0,0.018124,0.018124
01-01 02,Bucarest FIR,0.004287,0.000117,0.004531,0.115014,0.110484
01-01 02,Budapest FIR,0.226987,0.0169,0.009845,0.577958,0.568113
01-01 02,Canarias FIR,0.048158,0.017924,0.000766,0.079327,0.078561
01-01 02,China,0.003014,2.4e-05,0.058862,0.079238,0.020376
01-01 02,Chisinau FIR,0.00569,0.0,0.025232,0.14862,0.123388
01-01 02,Continental Europe,0.0735,0.009374,0.00191,0.208671,0.206761
01-01 02,Copenhagen FIR,0.028616,0.00071,0.0,0.136994,0.136994
01-01 02,Dnipro FIR,0.0,0.0,0.0,0.003877,0.003877
01-01 02,East Asia,0.002491,0.000325,0.039523,0.049074,0.009551
01-01 02,European Airspace,0.051187,0.009491,0.00177,0.160395,0.158625
01-01 02,Global,0.021937,0.005448,0.022391,0.081439,0.059048
01-01 02,Helsinki FIR,0.00037,0.0,0.0,0.019695,0.019695
01-01 02,India,0.001039,0.0,0.011443,0.01632,0.004877
01-01 02,Istanbul FIR,0.063414,0.003405,0.012081,0.249943,0.237863
01-01 02,Kiev FIR,0.00723,0.0,0.02343,0.42235,0.398921
01-01 02,Langen FIR,0.013621,0.000462,0.0,0.018759,0.018759
01-01 02,Latin America,0.047533,0.017655,3.6e-05,0.099178,0.099142
01-01 02,Lisboa FIR,0.007048,0.000387,0.000215,0.067412,0.067197
01-01 02,Ljubljana FIR,0.003229,0.001615,0.0,0.043949,0.043949
01-01 02,London FIR,0.038672,0.014598,0.000131,0.062814,0.062683
01-01 02,Lvov FIR,0.057496,0.000617,0.058219,0.673568,0.615348
01-01 02,Madrid FIR,0.068747,0.001044,0.00385,0.232331,0.228481
01-01 02,Malta FIR,0.0,0.0,0.0,0.010118,0.010118
01-01 02,Marseille FIR,0.206983,0.059279,0.001606,0.361665,0.360059
01-01 02,Milano FIR,0.021963,0.008259,0.0,0.066115,0.066115
01-01 02,Munchen FIR,0.03303,0.0,0.0,0.084741,0.084741
01-01 02,Nicosia FIR,0.04559,0.0,0.0,0.247756,0.247756
01-01 02,North Atlantic,0.026832,0.001262,8e-06,0.092803,0.092794
01-01 02,North Pacific,0.03847,0.004562,0.039699,0.155422,0.115723
01-01 02,Odessa FIR,0.0,0.0,0.0,0.012111,0.012111
01-01 02,Paris FIR,0.003658,0.0,0.0,0.143743,0.143743
01-01 02,Polaris FIR,0.071763,0.023632,0.0,0.391275,0.391275
01-01 02,Praha FIR,0.122124,0.003547,0.0,0.425698,0.425698
01-01 02,Reims FIR,0.0,0.0,0.0,0.0,0.0
01-01 02,Reykjavik FIR,0.137373,0.048702,0.0,0.272093,0.272093
01-01 02,Riga FIR,0.178822,0.0,0.00076,0.58423,0.58347
01-01 02,Roma FIR,0.048715,0.011977,0.0,0.159391,0.159391
01-01 02,Santa Maria FIR,0.026009,0.000675,1.8e-05,0.109381,0.109363
01-01 02,Sarajevo FIR,0.168441,0.003079,0.039125,0.550407,0.511282
01-01 02,Scottish FIR,0.005554,4.7e-05,0.0,0.029956,0.029956
01-01 02,Shannon FIR,0.049535,0.021583,0.0,0.059816,0.059816
01-01 02,Shanwick FIR,0.031183,0.000386,0.0,0.154267,0.154267
01-01 02,Simferopol FIR,0.0,0.0,0.0,0.016224,0.016224
01-01 02,Skopje FIR,0.0,0.0,0.0,0.0,0.0
01-01 02,Sofia FIR,0.01855,0.002688,0.01064,0.065,0.05436
