week,region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
3,Beograd FIR,0.0225,0.0591,0.0984,0.0468,0.012,0.0
3,Bordeaux FIR,0.0166,0.0693,0.07,0.031,0.0107,0.0
3,Bratislava  FIR,0.0139,0.0637,0.0751,0.0241,0.0019,0.0
3,Bremen FIR,0.0301,0.0804,0.094,0.0415,0.0059,0.0
3,Brest FIR,0.0228,0.1153,0.1513,0.0775,0.0207,0.0003
3,Brindisi FIR,0.0022,0.0309,0.0573,0.0321,0.0133,0.0
3,Brussels FIR,0.0363,0.1003,0.1068,0.0319,0.0104,0.0003
3,Bucarest FIR,0.0438,0.0973,0.1028,0.0432,0.0074,0.0
3,Budapest FIR,0.0295,0.0683,0.0686,0.0359,0.0032,0.0
3,Canarias FIR,0.0,0.0005,0.0105,0.033,0.0051,0.0
3,Chisinau FIR,0.046,0.1381,0.1423,0.0599,0.009,0.0
3,Copenhagen FIR,0.0434,0.0586,0.0513,0.0181,0.0022,0.0
3,Helsinki FIR,0.1515,0.1451,0.0815,0.0045,0.0,0.0
3,Langen FIR,0.024,0.0788,0.0921,0.0346,0.0111,0.0
3,Lisboa FIR,0.0034,0.0292,0.0602,0.0586,0.0528,0.0083
3,Ljubljana FIR,0.0261,0.0653,0.0651,0.0503,0.0018,0.0
3,London FIR,0.0399,0.1126,0.1324,0.0555,0.0044,0.0
3,Madrid FIR,0.0081,0.0452,0.0768,0.0527,0.0266,0.0008
3,Malta FIR,0.0,0.0126,0.03,0.0256,0.0102,0.0
3,Marseille FIR,0.0091,0.0347,0.047,0.0345,0.0192,0.0002
3,Milano FIR,0.0226,0.0713,0.0653,0.0405,0.0082,0.0
3,Munchen FIR,0.0214,0.0785,0.1038,0.0438,0.0083,0.0
3,Paris FIR,0.0304,0.116,0.1487,0.0529,0.0093,0.0006
3,Polaris FIR,0.1034,0.0944,0.0566,0.0091,0.0006,0.0
3,Praha FIR,0.0232,0.0884,0.1088,0.0462,0.0073,0.0
3,Reims FIR,0.0253,0.0793,0.0971,0.0262,0.0124,0.0004
3,Reykjavik FIR,0.099,0.094,0.0665,0.0397,0.0066,0.0
3,Riga FIR,0.1281,0.1137,0.0588,0.0083,0.0,0.0
3,Roma FIR,0.0024,0.0306,0.0409,0.0228,0.0113,0.0
3,Santa Maria FIR,0.0058,0.0232,0.0402,0.0312,0.0158,0.0006
3,Sarajevo FIR,0.0118,0.0524,0.0719,0.0454,0.0138,0.0
3,Scottish FIR,0.0492,0.0772,0.07,0.0273,0.0004,0.0
3,Shannon FIR,0.0212,0.0804,0.0942,0.0269,0.0001,0.0
3,Skopje FIR,0.0118,0.0481,0.1015,0.0399,0.0106,0.0
3,Sofia FIR,0.039,0.1159,0.1473,0.0434,0.0097,0.0
3,Sweden FIR,0.0795,0.0662,0.033,0.0073,0.0003,0.0
3,Switzerland FIR,0.0164,0.0705,0.0604,0.0207,0.0073,0.0
3,Tallinn FIR,0.1637,0.1437,0.0737,0.0116,0.0,0.0
3,Tirana FIR,0.0037,0.0407,0.0749,0.0354,0.0147,0.0
3,Vilnius FIR,0.0529,0.0865,0.0681,0.0108,0.0,0.0
3,Warszawa FIR,0.0238,0.0807,0.1031,0.0386,0.0058,0.0
3,Wien FIR,0.0179,0.0717,0.0672,0.0333,0.0058,0.0
3,Zagreb FIR,0.0192,0.0517,0.0601,0.0395,0.0085,0.0
4,Global,0.0133,0.0202,0.022,0.0188,0.023,0.0243
4,Europe,0.0072,0.064,0.105,0.0845,0.032,0.0049
4,European Airspace,0.0246,0.0599,0.0803,0.0495,0.0167,0.0018
4,Africa Middle East,0.0002,0.0016,0.0047,0.02,0.0271,0.0252
4,East Asia,0.0029,0.0007,0.0002,0.0026,0.0087,0.0054
4,Southeast Asia,0.0,0.0,0.0,0.0242,0.0883,0.0968
4,India,0.0006,0.0009,0.0009,0.0046,0.0126,0.0333
4,China,0.0082,0.0104,0.0096,0.0068,0.0041,0.0043
4,Latin America,0.0004,0.0017,0.0061,0.0087,0.0238,0.0297
4,USA,0.0114,0.0375,0.0576,0.0354,0.0062,0.0
4,North Atlantic,0.029,0.0647,0.0769,0.0536,0.0239,0.0028
4,North Pacific,0.0558,0.0692,0.056,0.0165,0.001,0.0
4,Amsterdam FIR,0.0086,0.0842,0.1076,0.121,0.0591,0.0034
4,Athinai FIR,0.0002,0.0025,0.0036,0.0002,0.0,0.0
4,Barcelona FIR,0.0,0.0353,0.0884,0.0871,0.0242,0.0003
4,Beograd FIR,0.0028,0.037,0.0421,0.0164,0.0001,0.0
4,Bordeaux FIR,0.0006,0.0971,0.168,0.1671,0.0993,0.0304
4,Bratislava  FIR,0.0045,0.0401,0.0712,0.0146,0.0002,0.0
4,Bremen FIR,0.0052,0.0521,0.0739,0.0352,0.0182,0.0004
4,Brest FIR,0.0017,0.1378,0.2508,0.2493,0.1316,0.0486
4,Brindisi FIR,0.0002,0.0162,0.0137,0.0027,0.0,0.0
4,Brussels FIR,0.0062,0.0823,0.1444,0.161,0.0663,0.002
4,Bucarest FIR,0.0081,0.0438,0.0333,0.0057,0.0004,0.0
4,Budapest FIR,0.0026,0.0422,0.0728,0.0169,0.0014,0.0
4,Canarias FIR,0.0,0.0015,0.0145,0.0114,0.0027,0.0
4,Chisinau FIR,0.0192,0.0656,0.0329,0.0112,0.0019,0.0
4,Copenhagen FIR,0.0119,0.0679,0.0936,0.0496,0.0285,0.0
4,Helsinki FIR,0.0889,0.1392,0.1389,0.0444,0.0086,0.0001
4,Langen FIR,0.0039,0.029,0.0621,0.0516,0.0161,0.0027
4,Lisboa FIR,0.0005,0.0767,0.1727,0.1117,0.0173,0.0003
4,Ljubljana FIR,0.0022,0.0326,0.0525,0.0335,0.012,0.0
4,London FIR,0.0072,0.0998,0.1616,0.1714,0.0694,0.0016
4,Madrid FIR,0.0004,0.0888,0.1587,0.1446,0.0492,0.0062
4,Malta FIR,0.0,0.0,0.0,0.0,0.0,0.0
4,Marseille FIR,0.0006,0.0444,0.0615,0.0591,0.0357,0.002
4,Milano FIR,0.0002,0.0262,0.0445,0.0202,0.0024,0.0
4,Munchen FIR,0.0013,0.0152,0.044,0.0211,0.0027,0.0
4,Paris FIR,0.0034,0.0972,0.1893,0.1709,0.0654,0.0031
4,Polaris FIR,0.0737,0.1174,0.1195,0.0476,0.0113,0.0001
4,Praha FIR,0.0054,0.0333,0.0613,0.03,0.0026,0.0
4,Reims FIR,0.0018,0.0492,0.0805,0.0845,0.0383,0.0
4,Reykjavik FIR,0.0895,0.1226,0.1094,0.0335,0.0006,0.0
4,Riga FIR,0.0428,0.0947,0.1287,0.0448,0.0017,0.0
4,Roma FIR,0.0015,0.0168,0.01,0.0018,0.0005,0.0
4,Santa Maria FIR,0.0038,0.0445,0.0969,0.0798,0.029,0.0009
4,Sarajevo FIR,0.0032,0.0345,0.049,0.0286,0.0028,0.0
4,Scottish FIR,0.0381,0.1013,0.1306,0.0715,0.01,0.0
4,Shannon FIR,0.0096,0.0744,0.1345,0.107,0.0199,0.0
4,Skopje FIR,0.0,0.0041,0.0272,0.0057,0.0,0.0
4,Sofia FIR,0.0019,0.0204,0.0142,0.0018,0.0,0.0
4,Sweden FIR,0.0593,0.1204,0.1309,0.037,0.0087,0.0
4,Switzerland FIR,0.0004,0.0062,0.0385,0.0348,0.0091,0.0
4,Tallinn FIR,0.0436,0.1127,0.1092,0.0306,0.0003,0.0
4,Tirana FIR,0.0001,0.0036,0.0175,0.001,0.0,0.0
4,Vilnius FIR,0.041,0.0784,0.1251,0.0527,0.0073,0.0
4,Warszawa FIR,0.0126,0.0527,0.0652,0.0278,0.0083,0.0
4,Wien FIR,0.0025,0.0329,0.053,0.0188,0.0044,0.0
4,Zagreb FIR,0.0035,0.0306,0.0469,0.02,0.0025,0.0
5,Global,0.0114,0.0186,0.0217,0.0196,0.0252,0.0277
5,Europe,0.0185,0.0855,0.1129,0.0892,0.0532,0.0122
5,European Airspace,0.0261,0.0642,0.0724,0.0461,0.0286,0.0038
5,Africa Middle East,0.0012,0.0039,0.0046,0.014,0.0221,0.0285
5,East Asia,0.0071,0.0117,0.0073,0.0035,0.0034,0.0008
5,Southeast Asia,0.0,0.0,0.0,0.0263,0.0764,0.0877
5,India,0.0002,0.0019,0.0031,0.0045,0.0067,0.0215
