Date,Airport,Big Hits
2019-12-19 00:00:00,Helsinki Vantaa Airport,39
2019-12-19 00:00:00,Düsseldorf Airport,44
2019-12-19 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,23
2019-12-19 00:00:00,Paris-Orly Airport,15
2019-12-19 00:00:00,Dublin Airport,23
2019-12-18 00:00:00,London Heathrow Airport,113
2019-12-18 00:00:00,Frankfurt am Main Airport,90
2019-12-18 00:00:00,Charles de Gaulle International Airport,77
2019-12-18 00:00:00,Amsterdam Airport Schiphol,50
2019-12-18 00:00:00,Adolfo Suárez Madrid–Barajas Airport,51
2019-12-18 00:00:00,Munich Airport,41
2019-12-18 00:00:00,Malpensa International Airport,45
2019-12-18 00:00:00,Zürich Airport,30
2019-12-18 00:00:00,London Gatwick Airport,22
2019-12-18 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,46
2019-12-18 00:00:00,Helsinki Vantaa Airport,20
2019-12-18 00:00:00,Copenhagen Kastrup Airport,14
2019-12-18 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),22
2019-12-18 00:00:00,Paris-Orly Airport,10
2019-12-18 00:00:00,Vienna International Airport,29
2019-12-18 00:00:00,Brussels Airport,21
2019-12-18 00:00:00,Manchester Airport,17
2019-12-18 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,22
2019-12-18 00:00:00,Düsseldorf Airport,20
2019-12-18 00:00:00,Dublin Airport,6
2019-12-17 00:00:00,London Heathrow Airport,141
2019-12-17 00:00:00,Frankfurt am Main Airport,113
2019-12-17 00:00:00,Charles de Gaulle International Airport,86
2019-12-17 00:00:00,Amsterdam Airport Schiphol,80
2019-12-17 00:00:00,Munich Airport,46
2019-12-17 00:00:00,Zürich Airport,23
2019-12-17 00:00:00,Adolfo Suárez Madrid–Barajas Airport,28
2019-12-17 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,28
2019-12-17 00:00:00,London Gatwick Airport,40
2019-12-17 00:00:00,Helsinki Vantaa Airport,46
2019-12-17 00:00:00,Malpensa International Airport,28
2019-12-17 00:00:00,Brussels Airport,32
2019-12-17 00:00:00,Copenhagen Kastrup Airport,35
2019-12-17 00:00:00,Düsseldorf Airport,42
2019-12-17 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),36
2019-12-17 00:00:00,Manchester Airport,21
2019-12-17 00:00:00,Paris-Orly Airport,17
2019-12-17 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,22
2019-12-17 00:00:00,Vienna International Airport,38
2019-12-17 00:00:00,Dublin Airport,15
2019-12-16 00:00:00,London Heathrow Airport,267
2019-12-16 00:00:00,Frankfurt am Main Airport,182
2019-12-16 00:00:00,Charles de Gaulle International Airport,172
2019-12-16 00:00:00,Amsterdam Airport Schiphol,125
2019-12-16 00:00:00,Munich Airport,106
2019-12-16 00:00:00,Adolfo Suárez Madrid–Barajas Airport,102
2019-12-16 00:00:00,Zürich Airport,55
2019-12-16 00:00:00,London Gatwick Airport,113
2019-12-16 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,97
2019-12-16 00:00:00,Brussels Airport,85
2019-12-16 00:00:00,Malpensa International Airport,65
2019-12-16 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),50
2019-12-16 00:00:00,Paris-Orly Airport,50
2019-12-16 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,85
2019-12-16 00:00:00,Manchester Airport,32
2019-12-16 00:00:00,Düsseldorf Airport,60
2019-12-16 00:00:00,Vienna International Airport,80
2019-12-16 00:00:00,Copenhagen Kastrup Airport,50
2019-12-16 00:00:00,Helsinki Vantaa Airport,22
2019-12-16 00:00:00,Dublin Airport,27
2019-12-15 00:00:00,London Heathrow Airport,178
2019-12-15 00:00:00,Charles de Gaulle International Airport,119
2019-12-15 00:00:00,Frankfurt am Main Airport,109
2019-12-15 00:00:00,Adolfo Suárez Madrid–Barajas Airport,143
2019-12-15 00:00:00,Amsterdam Airport Schiphol,79
2019-12-15 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,43
2019-12-15 00:00:00,Munich Airport,35
2019-12-15 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),79
2019-12-15 00:00:00,London Gatwick Airport,70
2019-12-15 00:00:00,Zürich Airport,33
2019-12-15 00:00:00,Malpensa International Airport,31
2019-12-15 00:00:00,Brussels Airport,52
2019-12-15 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,71
2019-12-15 00:00:00,Paris-Orly Airport,47
2019-12-15 00:00:00,Copenhagen Kastrup Airport,26
2019-12-15 00:00:00,Helsinki Vantaa Airport,19
2019-12-15 00:00:00,Dublin Airport,18
2019-12-15 00:00:00,Düsseldorf Airport,26
2019-12-15 00:00:00,Vienna International Airport,33
2019-12-15 00:00:00,Manchester Airport,14
2019-12-14 00:00:00,London Heathrow Airport,125
2019-12-14 00:00:00,Charles de Gaulle International Airport,82
2019-12-14 00:00:00,Frankfurt am Main Airport,66
2019-12-14 00:00:00,Adolfo Suárez Madrid–Barajas Airport,78
2019-12-14 00:00:00,Amsterdam Airport Schiphol,42
2019-12-14 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,29
2019-12-14 00:00:00,Munich Airport,26
2019-12-14 00:00:00,Zürich Airport,25
2019-12-14 00:00:00,London Gatwick Airport,34
2019-12-14 00:00:00,Malpensa International Airport,20
2019-12-14 00:00:00,Helsinki Vantaa Airport,29
2019-12-14 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),42
2019-12-14 00:00:00,Paris-Orly Airport,17
2019-12-14 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,23
2019-12-14 00:00:00,Manchester Airport,16
2019-12-14 00:00:00,Brussels Airport,16
2019-12-14 00:00:00,Copenhagen Kastrup Airport,12
2019-12-14 00:00:00,Düsseldorf Airport,15
2019-12-14 00:00:00,Vienna International Airport,16
2019-12-14 00:00:00,Dublin Airport,11
2019-12-13 00:00:00,London Heathrow Airport,51
2019-12-13 00:00:00,Charles de Gaulle International Airport,40
2019-12-13 00:00:00,Frankfurt am Main Airport,32
2019-12-13 00:00:00,Adolfo Suárez Madrid–Barajas Airport,29
2019-12-13 00:00:00,Amsterdam Airport Schiphol,28
2019-12-13 00:00:00,Munich Airport,14
2019-12-13 00:00:00,Helsinki Vantaa Airport,25
2019-12-13 00:00:00,London Gatwick Airport,8
2019-12-13 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),15
2019-12-13 00:00:00,Copenhagen Kastrup Airport,8
2019-12-13 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,7
2019-12-13 00:00:00,Zürich Airport,10
2019-12-13 00:00:00,Brussels Airport,8
2019-12-13 00:00:00,Malpensa International Airport,5
2019-12-13 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,7
2019-12-13 00:00:00,Paris-Orly Airport,6
2019-12-13 00:00:00,Vienna International Airport,6
2019-12-13 00:00:00,Düsseldorf Airport,3
2019-12-13 00:00:00,Manchester Airport,2
2019-12-13 00:00:00,Dublin Airport,2
2019-12-12 00:00:00,London Heathrow Airport,63
2019-12-12 00:00:00,Charles de Gaulle International Airport,50
2019-12-12 00:00:00,Amsterdam Airport Schiphol,40
2019-12-12 00:00:00,Frankfurt am Main Airport,42
2019-12-12 00:00:00,Adolfo Suárez Madrid–Barajas Airport,39
2019-12-12 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,19
2019-12-12 00:00:00,London Gatwick Airport,29
2019-12-12 00:00:00,Paris-Orly Airport,20
2019-12-12 00:00:00,Munich Airport,14
2019-12-12 00:00:00,Zürich Airport,14
2019-12-12 00:00:00,Brussels Airport,10
