name,entries,exits,mean_count,timestamp
TALLINN FIR,33,20,8.538461538461538,adsb_2024_02_01_12_00_00_3600
TBILISI FIR,34,12,7.615384615384615,adsb_2024_02_01_12_00_00_3600
TEL AVIV FIR,33,4,11.076923076923077,adsb_2024_02_01_12_00_00_3600
TIRANA FIR,46,36,9.846153846153847,adsb_2024_02_01_12_00_00_3600
VILNIUS FIR,21,9,5.615384615384615,adsb_2024_02_01_12_00_00_3600
WARSZAWA FIR,203,55,100.23076923076923,adsb_2024_02_01_12_00_00_3600
WIEN FIR,299,165,83.76923076923077,adsb_2024_02_01_12_00_00_3600
YEREVAN FIR,7,1,1.6666666666666667,adsb_2024_02_01_12_00_00_3600
ZAGREB FIR/UIR,110,76,28.23076923076923,adsb_2024_02_01_12_00_00_3600
AMSTERDAM FIR,29,6,11.23076923076923,adsb_2024_03_01_00_00_00_3600
ANKARA FIR,120,33,39.61538461538461,adsb_2024_03_01_00_00_00_3600
ATHINAI FIR,46,25,16.307692307692307,adsb_2024_03_01_00_00_00_3600
BARCELONA FIR,16,8,7.076923076923077,adsb_2024_03_01_00_00_00_3600
BEOGRAD FIR,24,17,6.769230769230769,adsb_2024_03_01_00_00_00_3600
BODO OCEANIC FIR,3,3,1.25,adsb_2024_03_01_00_00_00_3600
BORDEAUX FIR,11,10,3.769230769230769,adsb_2024_03_01_00_00_00_3600
BRATISLAVA FIR,23,19,5.615384615384615,adsb_2024_03_01_00_00_00_3600
BREMEN FIR,25,10,5.3076923076923075,adsb_2024_03_01_00_00_00_3600
BREST FIR,7,3,2.5833333333333335,adsb_2024_03_01_00_00_00_3600
BRINDISI FIR,9,8,3.9,adsb_2024_03_01_00_00_00_3600
BRUSSELS FIR,28,9,11.923076923076923,adsb_2024_03_01_00_00_00_3600
BUCURESTI FIR,67,39,29.846153846153847,adsb_2024_03_01_00_00_00_3600
BUDAPEST FIR,53,36,14.0,adsb_2024_03_01_00_00_00_3600
CANARIAS FIR,8,0,2.5384615384615383,adsb_2024_03_01_00_00_00_3600
CHISINAU FIR,2,0,1.4615384615384615,adsb_2024_03_01_00_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_03_01_00_00_00_3600
FINLAND FIR,17,3,5.153846153846154,adsb_2024_03_01_00_00_00_3600
FIR PRAHA,34,11,18.153846153846153,adsb_2024_03_01_00_00_00_3600
FIR SOFIA,87,29,36.30769230769231,adsb_2024_03_01_00_00_00_3600
ISTANBUL FIR,78,35,25.46153846153846,adsb_2024_03_01_00_00_00_3600
KOEBENHAVN FIR,19,2,12.76923076923077,adsb_2024_03_01_00_00_00_3600
KYIV FIR,0,0,,adsb_2024_03_01_00_00_00_3600
L'VIV FIR,0,0,,adsb_2024_03_01_00_00_00_3600
LANGEN FIR,67,27,25.923076923076923,adsb_2024_03_01_00_00_00_3600
LISBOA FIR,42,15,23.692307692307693,adsb_2024_03_01_00_00_00_3600
LJUBLJANA FIR,7,6,1.6,adsb_2024_03_01_00_00_00_3600
LONDON FIR,85,7,42.0,adsb_2024_03_01_00_00_00_3600
MADRID FIR,45,17,19.923076923076923,adsb_2024_03_01_00_00_00_3600
MALTA FIR,11,2,4.461538461538462,adsb_2024_03_01_00_00_00_3600
MARSEILLE FIR,12,4,3.5384615384615383,adsb_2024_03_01_00_00_00_3600
MILANO FIR,30,11,11.615384615384615,adsb_2024_03_01_00_00_00_3600
MUNICH FIR,52,24,16.76923076923077,adsb_2024_03_01_00_00_00_3600
NICOSIA FIR,34,24,10.692307692307692,adsb_2024_03_01_00_00_00_3600
NORWAY FIR,8,4,3.4615384615384617,adsb_2024_03_01_00_00_00_3600
ODESA FIR,0,0,,adsb_2024_03_01_00_00_00_3600
PARIS FIR,22,5,11.076923076923077,adsb_2024_03_01_00_00_00_3600
REIMS FIR,14,7,4.846153846153846,adsb_2024_03_01_00_00_00_3600
RIGA FIR,7,5,1.7,adsb_2024_03_01_00_00_00_3600
ROMA FIR,24,8,10.615384615384615,adsb_2024_03_01_00_00_00_3600
SANTA MARIA OCEANIC FIR,5,2,1.8333333333333333,adsb_2024_03_01_00_00_00_3600
SARAJEVO FIR,11,10,2.1538461538461537,adsb_2024_03_01_00_00_00_3600
SCOTTISH FIR,16,3,8.23076923076923,adsb_2024_03_01_00_00_00_3600
SHANNON FIR,18,3,5.769230769230769,adsb_2024_03_01_00_00_00_3600
SHANWICK FIR,11,7,3.2,adsb_2024_03_01_00_00_00_3600
SIMFEROPOL' FIR,0,0,,adsb_2024_03_01_00_00_00_3600
SKOPJE FIR,6,3,2.0,adsb_2024_03_01_00_00_00_3600
SWEDEN FIR,22,6,9.692307692307692,adsb_2024_03_01_00_00_00_3600
SWITZERLAND FIR,13,7,4.5,adsb_2024_03_01_00_00_00_3600
TALLINN FIR,4,0,1.6666666666666667,adsb_2024_03_01_00_00_00_3600
TBILISI FIR,47,6,12.692307692307692,adsb_2024_03_01_00_00_00_3600
TEL AVIV FIR,8,1,2.4545454545454546,adsb_2024_03_01_00_00_00_3600
TIRANA FIR,9,2,4.153846153846154,adsb_2024_03_01_00_00_00_3600
VILNIUS FIR,9,8,3.111111111111111,adsb_2024_03_01_00_00_00_3600
WARSZAWA FIR,41,9,22.53846153846154,adsb_2024_03_01_00_00_00_3600
WIEN FIR,29,18,8.384615384615385,adsb_2024_03_01_00_00_00_3600
YEREVAN FIR,8,3,1.9230769230769231,adsb_2024_03_01_00_00_00_3600
ZAGREB FIR/UIR,20,16,5.461538461538462,adsb_2024_03_01_00_00_00_3600
AMSTERDAM FIR,26,8,10.23076923076923,adsb_2024_03_01_01_00_00_3600
ANKARA FIR,150,43,46.76923076923077,adsb_2024_03_01_01_00_00_3600
ATHINAI FIR,58,21,24.153846153846153,adsb_2024_03_01_01_00_00_3600
BARCELONA FIR,16,4,5.923076923076923,adsb_2024_03_01_01_00_00_3600
BEOGRAD FIR,23,16,6.384615384615385,adsb_2024_03_01_01_00_00_3600
BODO OCEANIC FIR,4,2,1.8333333333333333,adsb_2024_03_01_01_00_00_3600
BORDEAUX FIR,4,1,2.0,adsb_2024_03_01_01_00_00_3600
BRATISLAVA FIR,14,8,4.153846153846154,adsb_2024_03_01_01_00_00_3600
BREMEN FIR,21,6,5.3076923076923075,adsb_2024_03_01_01_00_00_3600
BREST FIR,5,4,2.3076923076923075,adsb_2024_03_01_01_00_00_3600
BRINDISI FIR,13,6,3.3636363636363638,adsb_2024_03_01_01_00_00_3600
BRUSSELS FIR,25,9,7.923076923076923,adsb_2024_03_01_01_00_00_3600
BUCURESTI FIR,46,20,21.307692307692307,adsb_2024_03_01_01_00_00_3600
