,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
556,LFPV,686.1776217310328,0.0,2173.810705643912,835759947975.9767,3077275122254.642,0.0,0.0,0.0,0.0,Low contrail climate impact,1388.0,Villacoublay-Vélizy (BA 107) Air Base,Villacoublay,France,VIY,48.7741667,2.1916667,584.0,1,E,Europe/Paris,airport,OurAirports
557,LFQB,99332.08900605855,63696064397405.55,314684.0579711935,120985848140337.34,445470905286597.8,0.22111963885130584,0.06005408373347966,3.479141262542685e-05,9.449031383496612e-06,Low contrail climate impact,1390.0,Troyes-Barberey Airport,Troyes,France,\N,48.322102,4.0167,388.0,1,E,Europe/Paris,airport,OurAirports
558,LFQG,80328.21917128863,322832933516176.5,254479.79833464237,97839256410368.02,360244960841522.44,1.385842830898965,0.3763823143009689,0.00017633450206533925,4.789084772001828e-05,Average contrail climate impact,1394.0,Nevers-Fourchambault Airport,Nevers,France,NVS,47.00260162353516,3.1133298873901367,602.0,1,E,Europe/Paris,airport,OurAirports
559,LFQP,11168.150663028824,0.0,35380.70130047532,13602735970278.45,50085387672991.78,0.0,0.0,0.0,0.0,Low contrail climate impact,1398.0,Phalsbourg-Bourscheid Air Base,Phalsbourg,France,\N,48.7680556,7.205,1017.0,1,E,Europe/Paris,airport,OurAirports
560,LFQQ,24798638.98630153,1.0554576639223798e+17,78562088.30860326,3.0204583438295856e+16,1.1121352897782576e+17,1.4676322875069256,0.39859558717517635,0.05765012868783825,0.015657250859537886,Average contrail climate impact,1399.0,Lille-Lesquin Airport,Lille,France,LIL,50.563332,3.086886,157.0,1,E,Europe/Paris,airport,OurAirports
561,LFQT,71970.01658268069,-94051642699257.05,228001.01253393243,87659019195686.9,322761242226797.0,-0.45062892895830575,-0.12238672047844895,-5.1371926039787604e-05,-1.3952148094896861e-05,Low contrail climate impact,1400.0,Merville-Calonne Airport,Merville,France,HZB,50.61840057373047,2.642240047454834,61.0,1,E,Europe/Paris,airport,OurAirports
562,LFQV,991.1403505596916,0.0,3139.932630573103,1207202598258.672,4444930068902.224,0.0,0.0,0.0,0.0,Low contrail climate impact,1401.0,Charleville-Mézières Airport,Charleville,France,XCZ,49.78390121459961,4.647079944610596,492.0,1,E,Europe/Paris,airport,OurAirports
563,LFQW,8822.892370947657,-18508400101197.453,27950.923031162176,10746226393012.912,39567695505654.24,-0.7233728155547886,-0.1964614805881755,-1.0109468945203486e-05,-2.7456398612541273e-06,Low contrail climate impact,1402.0,Vesoul-Frotey Airport,Vesoul-frotey,France,\N,47.6376,6.20392,1249.0,1,E,Europe/Paris,airport,OurAirports
564,LFRB,10896323.009919016,4.907248496773076e+16,34519551.29542344,1.3271651629975472e+16,4.886633236141597e+16,1.552967502544746,0.4217718558047662,0.026803870682109498,0.007279687605709284,Average contrail climate impact,1403.0,Brest Bretagne Airport,Brest,France,BES,48.447898864746094,-4.418540000915527,325.0,1,E,Europe/Paris,airport,OurAirports
565,LFRC,139274.12190498787,-4590212741719.912,441220.4181950016,169634988363608.78,624597446694459.1,-0.011364927543072514,-0.003086611003175376,-2.5072190416551735e-06,-6.809378988131665e-07,Low contrail climate impact,1404.0,Cherbourg-Maupertus Airport,Cherbourg,France,CER,49.65010070800781,-1.4702800512313845,459.0,1,E,Europe/Paris,airport,OurAirports
