,time,file,region_id,area_km2,pt in mask,vol_km3,width_km,length_km,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing
584969,2024-08-15 09:00:00,20240815T09.nc,98,393.4973,2,119.9379814453125,14.155227,27.79873,304.8,0.0,300.0,75.25,-26.375,511968740.0,512281950.0,313216.0
127861,2024-02-24 23:00:00,20240224T23.nc,3,2635.5645,4,803.3200453124999,47.4048,83.396194,304.8,0.0,340.0,31.499668,-39.875164,1458051300.0,1847768200.0,325413020.0
12391,2024-01-07 03:00:00,20240107T03.nc,51,565.1678,1,172.26314106445315,20.330706,27.79873,304.8,0.0,300.0,43.0,16.999998,1461933300.0,1461933300.0,0.0
63189,2024-01-29 10:00:00,20240129T10.nc,171,356.82523,1,108.76032883300782,12.836025,27.79873,304.8,0.0,350.0,62.5,28.249998,1744235500.0,1744235500.0,0.0
1106407,2024-11-18 10:00:00,20241118T10.nc,326,365.76703,1,111.48579038085938,13.157688,27.79873,304.8,0.0,300.0,61.749996,-65.0,755879230.0,755879230.0,0.0
19661,2024-01-10 05:00:00,20240110T05.nc,88,544.0411,1,165.82372016601565,19.570717,27.79873,304.8,0.0,380.0,45.25,-77.74999,500564130.0,500564130.0,0.0
1101278,2024-11-17 16:00:00,20241117T16.nc,122,6005.957,11,5491.847109375002,98.20563,55.59746,914.4000000000004,248.86815786677104,350.0,45.04529,-54.43166,710248200.0,1020198300.0,151379470.0
1108579,2024-11-18 16:00:00,20241118T16.nc,137,551.17816,1,167.99910366210938,19.827457,27.79873,304.8,0.0,300.0,44.5,3.75,545381900.0,545381900.0,0.0
1076090,2024-11-14 00:00:00,20241114T00.nc,67,606.86896,1,184.97365825195317,21.830814,27.79873,304.8,0.0,330.0,38.25,-47.749996,519584400.0,519584400.0,0.0
1272519,2024-12-14 13:00:00,20241214T13.nc,49,2468.6448,4,752.4429275390626,88.80422,27.79873,304.8,0.0,330.0,37.0,-22.874998,814471100.0,1072000900.0,187690700.0
94942,2024-02-11 09:00:00,20240211T09.nc,19,4409.721,7,1344.083019140625,90.64632,55.59746,304.8,0.0,380.0,35.39267,-15.428666,523226180.0,548303740.0,17668942.0
199110,2024-03-24 16:00:00,20240324T16.nc,102,501.87363,1,152.97108142089843,18.053833,27.79873,304.8,0.0,300.0,49.5,34.999996,508705180.0,508705180.0,0.0
204909,2024-03-27 17:00:00,20240327T17.nc,25,625.18365,1,190.55597797851564,22.489647,27.79873,304.8,0.0,350.0,36.0,-78.0,515271600.0,515271600.0,0.0
774737,2024-09-25 14:00:00,20240925T14.nc,243,465.06424,1,141.75158020019532,16.729694,27.79873,304.8,0.0,300.0,53.0,-16.749996,654347700.0,654347700.0,0.0
52505,2024-01-24 13:00:00,20240124T13.nc,63,572.01794,1,174.35106943359375,20.577126,27.79873,304.8,0.0,360.0,42.25,-23.249998,591005950.0,591005950.0,0.0
270435,2024-04-25 01:00:00,20240425T01.nc,44,589.80273,1,179.7718734375,21.216896,27.79873,304.8,0.0,290.0,40.25,0.49999997,506233200.0,506233200.0,0.0
41715,2024-01-19 16:00:00,20240119T16.nc,26,653.5526,1,199.2028362304688,23.51016,27.79873,304.8,0.0,350.0,32.25,-74.24999,565491600.0,565491600.0,0.0
65134,2024-01-30 02:00:00,20240130T02.nc,39,589.80273,1,179.7718734375,21.216896,27.79873,304.8,0.0,340.0,40.25,-55.25,514710880.0,514710880.0,0.0
1364385,2024-12-28 17:00:00,20241228T17.nc,253,2483.633,5,1514.0227113281276,71.474724,27.79873,609.600000000001,152.40000000000057,335.0,50.0,-80.399994,744661400.0,858613600.0,96339576.0
891716,2024-10-13 09:00:00,20241013T09.nc,246,21508.139,66,19667.042001562502,234.53835,222.38985,914.4000000000004,248.86815786677104,310.0,65.04851,-48.920925,611691700.0,958676900.0,96960820.0
1098448,2024-11-17 08:00:00,20241117T08.nc,158,478.4169,1,145.82147131347656,17.210026,27.79873,304.8,0.0,290.0,51.75,21.499996,535347870.0,535347870.0,0.0
115118,2024-02-19 08:00:00,20240219T08.nc,62,517.0837,1,157.60710541992188,18.60098,27.79873,304.8,0.0,360.0,48.0,26.999998,508811650.0,508811650.0,0.0
223770,2024-04-04 10:00:00,20240404T10.nc,33,1845.3782,3,562.4712673828126,66.383545,27.79873,304.8,0.0,410.0,37.25,-10.999999,521952260.0,528167100.0,8041225.0
1201956,2024-12-02 00:00:00,20241202T00.nc,150,558.2208,1,170.14570751953124,20.080803,27.79873,304.8,0.0,290.0,43.75,21.999996,693876400.0,693876400.0,0.0
491483,2024-07-10 03:00:00,20240710T03.nc,14,2341.6924,4,1427.4956765625025,63.17804,27.79873,609.600000000001,152.40000000000057,375.0,40.75,-57.687496,532527070.0,549475650.0,10677327.0
450703,2024-06-23 00:00:00,20240623T00.nc,80,475.7644,1,145.0129904296875,17.114607,27.79873,304.8,0.0,340.0,52.000004,-27.499998,510369800.0,510369800.0,0.0
1142638,2024-11-23 21:00:00,20241123T21.nc,312,374.64603,1,114.19210891113282,13.477092,27.79873,304.8,0.0,300.0,61.0,-9.999999,510494720.0,510494720.0,0.0
