date,fir_code,fir_name,big_hit_count
2019-01-04,LQSB,Sarajevo FIR,0
2019-01-04,LRBB,Bucarest FIR,3
2019-01-04,LSAS,Switzerland FIR,28
2019-01-04,LUUU,Chisinau FIR,3
2019-01-04,LWSS,Skopje FIR,0
2019-01-04,LYBA,Beograd FIR,0
2019-01-04,LZBB,Bratislava  FIR,3
2019-01-04,UKBV,Kiev FIR,1
2019-01-04,UKDV,Dnipro FIR,0
2019-01-04,UKLV,Lvov FIR,0
2019-01-04,UKOV,Odessa FIR,0
2019-01-04,ULLL,Sankt-Peterburg FIR,1
2019-01-04,UMKK,Kaliningrad FIR,0
2019-01-04,UMMV,Minsk FIR,0
2019-01-04,UNNT,Novosibirsk FIR,0
2019-01-04,URRV,Rostov-Na-Donu FIR,0
2019-01-04,USSV,Yekaterinburg FIR,1
2019-01-04,UUWV,Moscow FIR,7
2019-01-04,UWWW,Samara FIR,0
2019-01-05,BIRD,Reykjavik FIR,2
2019-01-05,EBBU,Brussels FIR,9
2019-01-05,EDGG,Langen FIR,60
2019-01-05,EDMM,Munchen FIR,19
2019-01-05,EDWW,Bremen FIR,3
2019-01-05,EETT,Tallinn FIR,0
2019-01-05,EFIN,Helsinki FIR,1
2019-01-05,EGPX,Scottish FIR,10
2019-01-05,EGTT,London FIR,92
2019-01-05,EHAA,Amsterdam FIR,28
2019-01-05,EISN,Shannon FIR,6
2019-01-05,EKDK,Copenhagen FIR,5
2019-01-05,ENOR,Polaris FIR,7
2019-01-05,EPWW,Warszawa FIR,4
2019-01-05,ESAA,Sweden FIR,5
2019-01-05,EVRR,Riga FIR,1
2019-01-05,EYVL,Vilnius FIR,0
2019-01-05,GCCC,Canarias FIR,124
2019-01-05,GMMM,Casablanca FIR,0
2019-01-05,LAAA,Tirana FIR,0
2019-01-05,LBSR,Sofia FIR,0
2019-01-05,LDZO,Zagreb FIR,0
2019-01-05,LECB,Barcelona FIR,9
2019-01-05,LECM,Madrid FIR,55
2019-01-05,LFBB,Bordeaux FIR,1
2019-01-05,LFEE,Reims FIR,0
2019-01-05,LFFF,Paris FIR,72
2019-01-05,LFMM,Marseille FIR,0
2019-01-05,LFRR,Brest FIR,1
2019-01-05,LGGG,Athinai FIR,1
2019-01-05,LHCC,Budapest FIR,1
2019-01-05,LIBB,Brindisi FIR,1
2019-01-05,LIMM,Milano FIR,11
2019-01-05,LIRR,Roma FIR,20
2019-01-05,LJLA,Ljubljana FIR,0
2019-01-05,LKAA,Praha FIR,2
2019-01-05,LMMM,Malta FIR,0
2019-01-05,LOVV,Wien FIR,7
2019-01-05,LPPC,Lisboa FIR,32
2019-01-05,LPPO,Santa Maria FIR,7
2019-01-05,LQSB,Sarajevo FIR,0
